"departure_station","total_trips","num_departure_delays","num_arrival_delays","avg_num_departure_delays","avg_num_arrival_delays","total_depart_delay","total_arrival_delay","avg_depart_delay","avg_arrival_delay","num_trains_cancelled","percent_cancelled","delay_external","delay_infrastructure","delay_traffic","delay_stock","delay_station","delay_travelers"
"AIX EN PROVENCE TGV",19391,3658,2020,77.8297872340426,42.9787234042553,1879.7468212885,781.16333651966,39.9946132189043,16.6204965216949,299,64.8528428093645,0.349946500068323,0.204075891647743,0.141248027748728,0.192694824670753,0.0756988915257766,0.0363358643385894
"ANGERS SAINT LAUD",20315,3585,2733,76.2765957446808,58.1489361702128,1297.5765710455,706.20497701387,27.6080121499043,15.0256378088057,500,40.63,0.278530933214636,0.338600075402517,0.154559426308394,0.128171248335028,0.0582664742333255,0.0418718425060553
"ANGOULEME",14590,3756,2251,79.9148936170213,47.8936170212766,1456.1246790187,681.37063830944,30.981376149334,14.4972476236051,460,31.7173913043478,0.257404958343719,0.347956733660949,0.179804290898132,0.105166691357464,0.0568734485781298,0.052793877161534
"ANNECY",8534,335,1279,7.12765957446809,27.2127659574468,1728.5243173915,778.67335960407,36.7771131359894,16.5675182894483,276,30.9202898550725,0.265487515517636,0.263880090800117,0.244151820535002,0.152035643575662,0.0389770246181192,0.0354679049533149
"ARRAS",15225,2328,2555,49.531914893617,54.3617021276596,822.6104778212,654.10461108863,17.5023505919404,13.9171193848645,574,26.5243902439024,0.205437880308394,0.279270736354596,0.281153672658692,0.11520241795654,0.0915578133460532,0.0273774793756128
"AVIGNON TGV",25943,6804,4233,144.765957446808,90.063829787234,1615.7322819208,841.45348572712,34.3772825940596,17.9032656537685,504,51.4742063492063,0.316737471764766,0.233481020449934,0.178381942237777,0.168521785870387,0.0607058422955185,0.0421719373814555
"BARCELONA",789,282,172,25.6363636363636,15.6363636363636,558.9332942297,51.99458034501,50.8121176572455,4.72678003136455,45,17.5333333333333,0.418049995117571,0.278730104481857,0.0846312209093857,0.218588679490914,0,0
"BELLEGARDE (AIN)",10849,2205,1424,46.9148936170213,30.2978723404255,1475.1027576902,548.02051480467,31.3851650572383,11.6600109532909,260,41.7269230769231,0.292547489607817,0.265247479794785,0.24877145613322,0.105915455920996,0.04480815446365,0.0427099640792674
"BESANCON FRANCHE COMTE TGV",9328,643,624,13.6808510638298,13.2765957446809,1456.6010477127,723.39136077107,30.9915116534617,15.3913055483206,242,38.5454545454545,0.249880181518345,0.244078170034877,0.202549923197411,0.167671538841074,0.0821826705085255,0.0536375158995298
"BORDEAUX ST JEAN",34739,7323,5166,106.130434782609,74.8695652173913,2752.0749993267,1067.66449123843,39.8851449177783,15.4733984237454,1368,25.3940058479532,0.272648340619136,0.294361426914015,0.22105796326809,0.137758711808886,0.0409837188551697,0.0331898385345986
